what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469958634
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469958761
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469958877
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469958986
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469959133
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469959265
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469959396
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469959564
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469959719
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469959880
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469960019
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469960174
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469960451
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469960878
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469961192
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469961643
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469962046
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469962180
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469962575
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469962898
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469963970
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469964338
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469965010
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469965882
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469966818
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469970825
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469971974
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469973466
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469973696
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469973869
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469973996
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272469974127
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1272469974779
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1272469975053
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1272469975283
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272469976080
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1272469986351
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272469986374
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272469992666
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1272469995188
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272469995211
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272469998935
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1272470005991
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272470010093
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272470034852
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470035995
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470055487
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470061876
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470062802
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.binaryEditor",1272470063542
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.binaryEditor",1272470063693
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470064910
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470065270
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272470066456
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.binaryEditor",1272470066457
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1272470066466
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470067379
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470076676
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470077811
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470078287
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470138402
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470138815
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470139460
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470139697
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470140855
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470155915
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470156870
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470161524
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470256272
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272470256639
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272470260930
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272470260975
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272470261739
